trade_date,nav,cash,holdings_val,benchmark
2024-11-07,859247.3068804315,0.0,859247.3068804315,1054013.3987200435
2024-11-08,862389.4215288606,0.0,862389.4215288606,1052461.3760844197
2024-11-11,866996.5333485677,0.0,866996.5333485677,1066923.4678181477
2024-11-12,864225.6135354025,0.0,864225.6135354025,1060079.598314569
2024-11-13,860903.2861913632,0.0,860903.2861913632,1059744.1194647867
2024-11-14,844458.301285743,0.0,844458.301285743,1033670.8001020631
2024-11-15,827751.5838063725,0.0,827751.5838063725,1015754.4429596235
2024-11-18,821170.9417796892,0.0,821170.9417796892,1001660.4466038183
2024-11-19,829846.740513031,0.0,829846.740513031,1020480.6734862839
2024-11-20,827808.3377629038,677429.1806256896,150379.1571372142,1040621.7289510005
2024-11-21,827808.3377629038,677429.1806256896,150379.1571372142,1045527.3682515576
2024-11-22,827808.3377629038,677429.1806256896,150379.1571372142,1013211.09003477
2024-11-25,827808.3377629038,677429.1806256896,150379.1571372142,1025763.4065304461
2024-11-26,827808.3377629038,677429.1806256896,150379.1571372142,1020159.1020976142
2024-11-27,836837.7408832442,0.0,836837.7408832442,1032661.7514487726
2024-11-28,835906.6773924389,0.0,835906.6773924389,1036833.9151217896
2024-11-29,842120.4293187967,0.0,842120.4293187967,1050082.1421202517
2024-12-02,857769.3288998954,0.0,857769.3288998954,1072539.735129101
2024-12-03,863188.8741627297,0.0,863188.8741627297,1076159.7118067124
2024-12-04,857198.3001986917,0.0,857198.3001986917,1062754.1022963494
2024-12-05,868146.4397415506,0.0,868146.4397415506,1074478.6503184927
2024-12-06,879481.7106923615,0.0,879481.7106923615,1087763.9146623223
2024-12-09,874174.552151805,0.0,874174.552151805,1087244.081385789
2024-12-10,874753.1422289007,0.0,874753.1422289007,1092794.4857715827
2024-12-11,876313.1001499959,0.0,876313.1001499959,1110438.547945625
2024-12-12,883148.4925778641,0.0,883148.4925778641,1125248.0084185016
2024-12-13,864598.7573726451,0.0,864598.7573726451,1106294.444011292
2024-12-16,862456.0985719388,712076.9414347246,150379.1571372142,1102808.915794748
2024-12-17,862456.0985719388,712076.9414347246,150379.1571372142,1067276.7098953042
2024-12-18,862456.0985719388,712076.9414347246,150379.1571372142,1071229.2366015713
2024-12-19,862456.0985719388,712076.9414347246,150379.1571372142,1068454.8293638895
2024-12-20,862456.0985719388,712076.9414347246,150379.1571372142,1074744.0712931445
2024-12-23,862456.0985719388,712076.9414347246,150379.1571372142,1035722.2548595056
2024-12-24,862456.0985719388,712076.9414347246,150379.1571372142,1044928.9306220269
2024-12-25,860151.7882231434,0.0,860151.7882231434,1026830.1631595452
2024-12-26,862381.7181863153,0.0,862381.7181863153,1036259.0759617522
2024-12-27,860245.7105031679,709866.5533659537,150379.1571372142,1046993.5524455485
2024-12-30,860245.7105031679,709866.5533659537,150379.1571372142,1037570.900499589
2024-12-31,860245.7105031679,709866.5533659537,150379.1571372142,1016517.9218909987
2025-01-02,860245.7105031679,709866.5533659537,150379.1571372142,1000352.7487139496
2025-01-03,860245.7105031679,709866.5533659537,150379.1571372142,967188.6162554614
2025-01-06,860245.7105031679,709866.5533659537,150379.1571372142,963584.4204271045
2025-01-07,860245.7105031679,709866.5533659537,150379.1571372142,980036.0195358144
2025-01-08,860245.7105031679,709866.5533659537,150379.1571372142,979514.9809272
2025-01-09,860187.3995659675,729245.2214955655,130942.17807040195,980895.489290898
2025-01-10,860187.3995659675,729245.2214955655,130942.17807040195,956428.8469363565
2025-01-13,860187.3995659675,729245.2214955655,130942.17807040195,956319.4156587551
2025-01-14,860187.3995659675,729245.2214955655,130942.17807040195,995093.6314700488
2025-01-15,860187.3995659675,729245.2214955655,130942.17807040195,993139.0780138851
2025-01-16,860187.3995659675,729245.2214955655,130942.17807040195,1000796.0361211901
2025-01-17,860187.3995659675,729245.2214955655,130942.17807040195,1001695.7805068325
2025-01-20,860187.3995659675,729245.2214955655,130942.17807040195,1010159.1594354158
2025-01-21,860187.3995659675,729245.2214955655,130942.17807040195,1006659.3990100445
2025-01-22,860187.3995659675,729245.2214955655,130942.17807040195,996166.8480340871
2025-01-23,860187.3995659675,729245.2214955655,130942.17807040195,994343.2868394975
2025-01-24,860187.3995659675,729245.2214955655,130942.17807040195,1001957.1246366838
2025-01-27,860187.3995659675,729245.2214955655,130942.17807040195,996619.9783900834
2025-02-05,860187.3995659675,729245.2214955655,130942.17807040195,1001192.3563195557
2025-02-06,860187.3995659675,729245.2214955655,130942.17807040195,1018537.0291813216
2025-02-07,860187.3995659675,729245.2214955655,130942.17807040195,1031711.1164410267
2025-02-10,860187.3995659675,729245.2214955655,130942.17807040195,1046828.8236635334
2025-02-11,860187.3995659675,729245.2214955655,130942.17807040195,1044917.6761853789
2025-02-12,860187.3995659675,729245.2214955655,130942.17807040195,1053815.9442868982
2025-02-13,860187.3995659675,729245.2214955655,130942.17807040195,1047177.3568226515
2025-02-14,850887.1757836124,0.0,850887.1757836124,1046100.9131501182
2025-02-17,862192.5676446798,0.0,862192.5676446798,1057147.9997958913
2025-02-18,850125.8299035217,0.0,850125.8299035217,1036412.7028162109
2025-02-19,863306.7297444717,0.0,863306.7297444717,1052694.0780607848
2025-02-20,873791.1408280638,0.0,873791.1408280638,1059915.4819082418
2025-02-21,869010.157564499,0.0,869010.157564499,1063539.7365348388
2025-02-24,867210.4918783299,0.0,867210.4918783299,1068119.0060913349
2025-02-25,866553.5584605398,0.0,866553.5584605398,1061942.4318039622
2025-02-26,874310.8641234878,0.0,874310.8641234878,1076603.8085235811
2025-02-27,872167.8060854069,0.0,872167.8060854069,1076633.5721844484
2025-02-28,856953.0700401749,0.0,856953.0700401749,1051255.083661749
2025-03-03,852203.9519085664,0.0,852203.9519085664,1054234.7325656815
2025-03-04,857789.2805415717,0.0,857789.2805415717,1064090.108929763
2025-03-05,860445.954579702,0.0,860445.954579702,1065611.8513087255
2025-03-06,873530.235262552,0.0,873530.235262552,1079552.2656444798
2025-03-07,871545.5350431963,0.0,871545.5350431963,1076320.659031037
2025-03-10,880145.7170077119,0.0,880145.7170077119,1082414.7748484216
2025-03-11,885677.9514555564,0.0,885677.9514555564,1088914.686919723
2025-03-12,892352.0984471003,0.0,892352.0984471003,1094682.1083902651
2025-03-13,882380.5410196297,0.0,882380.5410196297,1086531.7729067106
2025-03-14,890676.8297523827,0.0,890676.8297523827,1102940.1837749416
2025-03-17,900837.5669453583,0.0,900837.5669453583,1109169.240438232
2025-03-18,902804.35579404,0.0,902804.35579404,1113815.8936965147
2025-03-19,897809.1087106258,0.0,897809.1087106258,1110533.1220299343
2025-03-20,900230.0388402882,0.0,900230.0388402882,1111143.9570313317
2025-03-21,887174.337503271,0.0,887174.337503271,1097315.038089061
2025-03-24,868292.5182023979,0.0,868292.5182023979,1082928.117033316
2025-03-25,868045.3054899265,0.0,868045.3054899265,1081206.3231020828
2025-03-26,874850.8374883889,0.0,874850.8374883889,1090556.5778424726
2025-03-27,872964.2550830555,0.0,872964.2550830555,1084609.2510840541
2025-03-28,856512.384819352,0.0,856512.384819352,1070953.4223665006
2025-03-31,853875.8546109466,0.0,853875.8546109466,1057662.3178490417
2025-04-01,863614.051612984,0.0,863614.051612984,1068830.1174304574
2025-04-02,860310.3055137312,0.0,860310.3055137312,1070270.7589343449
2025-04-03,862150.612191637,0.0,862150.612191637,1066919.694846629
2025-04-07,860066.5734134094,692595.5539643391,167471.0194490703,972410.6776937449
2025-04-08,860066.5734134094,692595.5539643391,167471.0194490703,960069.3618322136
2025-04-09,860066.5734134094,692595.5539643391,167471.0194490703,978405.1031599081
2025-04-10,860066.5734134094,692595.5539643391,167471.0194490703,1003096.1713644102
2025-04-11,860066.5734134094,692595.5539643391,167471.0194490703,1008534.1420017015
2025-04-14,873728.1530812695,0.0,873728.1530812695,1027963.9600698851
2025-04-15,872696.299074035,0.0,872696.299074035,1028387.2516276673
2025-04-16,870580.6232351604,703109.60378609,167471.0194490703,1016343.9317554068
2025-04-17,870580.6232351604,703109.60378609,167471.0194490703,1022940.8149792394
2025-04-18,870580.6232351604,703109.60378609,167471.0194490703,1021686.1600597847
2025-04-21,870580.6232351604,703109.60378609,167471.0194490703,1036677.7055100482
2025-04-22,870580.6232351604,703109.60378609,167471.0194490703,1040181.1150946663
2025-04-23,870580.6232351604,703109.60378609,167471.0194490703,1043417.2056441907
2025-04-24,870580.6232351604,703109.60378609,167471.0194490703,1038146.5717869825
2025-04-25,870580.6232351604,703109.60378609,167471.0194490703,1041609.5912949031
2025-04-28,870580.6232351604,703109.60378609,167471.0194490703,1027060.994393185
2025-04-29,870580.6232351604,703109.60378609,167471.0194490703,1033019.2401981521
2025-04-30,870580.6232351604,703109.60378609,167471.0194490703,1038192.4934504429
2025-05-06,870580.6232351604,703109.60378609,167471.0194490703,1062946.5980367102
2025-05-07,870580.6232351604,703109.60378609,167471.0194490703,1071369.1032513448
2025-05-08,870580.6232351604,703109.60378609,167471.0194490703,1080322.8499435992
2025-05-09,870580.6232351604,703109.60378609,167471.0194490703,1072952.389942501
2025-05-12,870580.6232351604,703109.60378609,167471.0194490703,1084240.4795781584
2025-05-13,870580.6232351604,703109.60378609,167471.0194490703,1084305.7743778839
2025-05-14,870580.6232351604,703109.60378609,167471.0194490703,1087832.6274171032
2025-05-15,872034.7293980779,0.0,872034.7293980779,1080498.1662250357
2025-05-16,872163.5594666898,0.0,872163.5594666898,1085089.0264952707
2025-05-19,870049.481846637,702578.4623975666,167471.0194490703,1096686.879306091
2025-05-20,870049.481846637,702578.4623975666,167471.0194490703,1105584.412902985
2025-05-21,870049.481846637,702578.4623975666,167471.0194490703,1103443.3708362412
2025-05-22,870049.481846637,702578.4623975666,167471.0194490703,1091600.846453779
2025-05-23,870049.481846637,702578.4623975666,167471.0194490703,1080333.628966231
2025-05-26,870049.481846637,702578.4623975666,167471.0194490703,1088854.304230934
2025-05-27,870049.481846637,702578.4623975666,167471.0194490703,1093552.9249037218
2025-05-28,870049.481846637,702578.4623975666,167471.0194490703,1091998.5004618086
2025-05-29,870049.481846637,702578.4623975666,167471.0194490703,1105268.6561024096
2025-05-30,870049.481846637,702578.4623975666,167471.0194490703,1093539.5931303683
2025-06-03,870049.481846637,702578.4623975666,167471.0194490703,1100990.4776599517
2025-06-04,870049.481846637,702578.4623975666,167471.0194490703,1113156.5859083463
2025-06-05,870049.481846637,702578.4623975666,167471.0194490703,1113617.7564063
2025-06-06,870049.481846637,702578.4623975666,167471.0194490703,1115902.8198004877
2025-06-09,870049.481846637,702578.4623975666,167471.0194490703,1127115.6536858599
2025-06-10,870049.481846637,702578.4623975666,167471.0194490703,1120087.8672065905
2025-06-11,870049.481846637,702578.4623975666,167471.0194490703,1126752.7652186744
2025-06-12,870049.481846637,702578.4623975666,167471.0194490703,1127193.6109261129
2025-06-13,870049.481846637,702578.4623975666,167471.0194490703,1109365.3357876425
2025-06-16,870049.481846637,702578.4623975666,167471.0194490703,1116023.6247471645
2025-06-17,870049.481846637,702578.4623975666,167471.0194490703,1115954.575813177
2025-06-18,870049.481846637,702578.4623975666,167471.0194490703,1109585.8310925802
2025-06-19,870049.481846637,702578.4623975666,167471.0194490703,1091319.3263693312
2025-06-20,870049.481846637,702578.4623975666,167471.0194490703,1085211.442723397
2025-06-23,870049.481846637,702578.4623975666,167471.0194490703,1099611.3531454194
2025-06-24,870049.481846637,702578.4623975666,167471.0194490703,1118466.3024787293
2025-06-25,870049.481846637,702578.4623975666,167471.0194490703,1127245.5208153499
2025-06-26,870049.481846637,702578.4623975666,167471.0194490703,1125301.8179160287
2025-06-27,872356.1723472651,0.0,872356.1723472651,1130889.7665980118
2025-06-30,879667.8130380269,0.0,879667.8130380269,1142177.0561056305
2025-07-01,882167.3858110921,0.0,882167.3858110921,1147585.9400910663
2025-07-02,880023.2967120059,712552.2772629355,167471.0194490703,1146558.5189524204
2025-07-03,880023.2967120059,712552.2772629355,167471.0194490703,1152119.1115939545
2025-07-04,880023.2967120059,712552.2772629355,167471.0194490703,1144791.6086809854
2025-07-07,880023.2967120059,712552.2772629355,167471.0194490703,1152813.4705381312
2025-07-08,880023.2967120059,712552.2772629355,167471.0194490703,1163978.8166116981
2025-07-09,880023.2967120059,712552.2772629355,167471.0194490703,1163518.895361252
2025-07-10,880023.2967120059,712552.2772629355,167471.0194490703,1169149.1455588061
2025-07-11,879055.688426655,0.0,879055.688426655,1172609.824581375
2025-07-14,876920.9344197223,709449.914970652,167471.0194490703,1177793.8870057424
2025-07-15,876920.9344197223,709449.914970652,167471.0194490703,1165830.021920139
2025-07-16,876920.9344197223,709449.914970652,167471.0194490703,1171965.6498412606
2025-07-17,876920.9344197223,709449.914970652,167471.0194490703,1179733.5442384447
2025-07-18,876920.9344197223,709449.914970652,167471.0194490703,1182506.9003593365
2025-07-21,876920.9344197223,709449.914970652,167471.0194490703,1199169.5784495932
2025-07-22,876920.9344197223,709449.914970652,167471.0194490703,1205158.1203683028
2025-07-23,876920.9344197223,709449.914970652,167471.0194490703,1197107.8707939791
2025-07-24,876920.9344197223,709449.914970652,167471.0194490703,1211106.6624110008
2025-07-25,876920.9344197223,709449.914970652,167471.0194490703,1210539.5862651113
2025-07-28,876920.9344197223,709449.914970652,167471.0194490703,1212477.4014635123
2025-07-29,876920.9344197223,709449.914970652,167471.0194490703,1212213.4155630055
2025-07-30,876920.9344197223,709449.914970652,167471.0194490703,1208257.45239947
2025-07-31,876920.9344197223,709449.914970652,167471.0194490703,1192233.4082906335
2025-08-01,876920.9344197223,709449.914970652,167471.0194490703,1196891.6591730993
2025-08-04,876920.9344197223,709449.914970652,167471.0194490703,1207100.4160529003
2025-08-05,876920.9344197223,709449.914970652,167471.0194490703,1218250.7943317646
2025-08-06,876920.9344197223,709449.914970652,167471.0194490703,1224840.179615833
2025-08-07,876920.9344197223,709449.914970652,167471.0194490703,1225532.0600850026
2025-08-08,878688.9572433832,0.0,878688.9572433832,1229499.350857034
2025-08-11,881786.0896431248,0.0,881786.0896431248,1242677.0456711228
2025-08-12,887136.5916912368,0.0,887136.5916912368,1243513.3514695682
2025-08-13,886390.8389261286,0.0,886390.8389261286,1250289.5321097854
2025-08-14,874447.689818851,0.0,874447.689818851,1232303.3675602404
2025-08-15,885594.256625216,0.0,885594.256625216,1249336.7043889721
2025-08-18,883439.8869136876,715968.8674646172,167471.0194490703,1261860.4203640888
2025-08-19,883439.8869136876,715968.8674646172,167471.0194490703,1269756.522108777
2025-08-20,883439.8869136876,715968.8674646172,167471.0194490703,1282072.9551647096
2025-08-21,883439.8869136876,715968.8674646172,167471.0194490703,1281704.4851392482
2025-08-22,882846.1324567925,0.0,882846.1324567925,1286612.3765090676
2025-08-25,880700.0071177692,713228.9876686989,167471.0194490703,1298648.6487402658
2025-08-26,880700.0071177692,713228.9876686989,167471.0194490703,1304986.8222375836
2025-08-27,880700.0071177692,713228.9876686989,167471.0194490703,1274964.8983897672
2025-08-28,880700.0071177692,713228.9876686989,167471.0194490703,1279927.8111819858
2025-08-29,880700.0071177692,713228.9876686989,167471.0194490703,1278515.8770262229
2025-09-01,880700.0071177692,713228.9876686989,167471.0194490703,1289315.02661066
2025-09-02,880700.0071177692,713228.9876686989,167471.0194490703,1274698.3086690628
2025-09-03,880700.0071177692,713228.9876686989,167471.0194490703,1251919.001202496
2025-09-04,880700.0071177692,713228.9876686989,167471.0194490703,1247268.736189085
2025-09-05,887585.3643403047,0.0,887585.3643403047,1270229.7981723652
2025-09-08,896911.3840253709,0.0,896911.3840253709,1286346.1417255574
2025-09-09,897051.5743341175,0.0,897051.5743341175,1280008.9059751937
2025-09-10,894862.8326694624,727391.8132203921,167471.0194490703,1282516.8351390162
2025-09-11,894862.8326694624,727391.8132203921,167471.0194490703,1297419.2635669946
2025-09-12,894862.8326694624,727391.8132203921,167471.0194490703,1297890.9608202493
2025-09-15,894862.8326694624,727391.8132203921,167471.0194490703,1297464.8530473858
2025-09-16,894862.8326694624,727391.8132203921,167471.0194490703,1308939.6854486258
2025-09-17,894862.8326694624,727391.8132203921,167471.0194490703,1311802.235404001
2025-09-18,894862.8326694624,727391.8132203921,167471.0194490703,1293959.4142906615
2025-09-19,891728.6116740461,0.0,891728.6116740461,1290007.5572795426
2025-09-22,889555.8388973714,722084.8194483011,167471.0194490703,1286954.9658627363
2025-09-23,889555.8388973714,722084.8194483011,167471.0194490703,1272328.5113955752
2025-09-24,889555.8388973714,722084.8194483011,167471.0194490703,1288639.6048724614
2025-09-25,889555.8388973714,722084.8194483011,167471.0194490703,1281439.5806267974
2025-09-26,889555.8388973714,722084.8194483011,167471.0194490703,1276234.5553731103
2025-09-29,889555.8388973714,722084.8194483011,167471.0194490703,1286826.640338696
2025-09-30,889555.8388973714,722084.8194483011,167471.0194490703,1290813.9477513793
2025-10-09,889555.8388973714,722084.8194483011,167471.0194490703,1301474.1626482643
2025-10-10,889555.8388973714,722084.8194483011,167471.0194490703,1305371.0688271136
2025-10-13,888282.7210163668,0.0,888282.7210163668,1299495.2980719719
2025-10-14,886120.2859116645,718649.2664625942,167471.0194490703,1292767.5218736646
2025-10-15,886120.2859116645,718649.2664625942,167471.0194490703,1309237.054438469
2025-10-16,886120.2859116645,718649.2664625942,167471.0194490703,1298195.8559131
2025-10-17,886120.2859116645,718649.2664625942,167471.0194490703,1273864.7616989168
2025-10-20,886120.2859116645,718649.2664625942,167471.0194490703,1287852.7640311727
2025-10-21,886120.2859116645,718649.2664625942,167471.0194490703,1307246.0216038083
2025-10-22,886120.2859116645,718649.2664625942,167471.0194490703,1306716.3283125474
2025-10-23,886120.2859116645,718649.2664625942,167471.0194490703,1311236.1514194563
2025-10-24,886120.2859116645,718649.2664625942,167471.0194490703,1313045.3763964495
2025-10-27,888733.9731505453,0.0,888733.9731505453,1321518.200636126
2025-10-28,887477.5879085662,0.0,887477.5879085662,1321699.734723692
2025-10-29,886001.2378422299,0.0,886001.2378422299,1326205.7656643079
2025-10-30,882228.4794639191,0.0,882228.4794639191,1313917.5336645774
2025-10-31,883376.7165291918,0.0,883376.7165291918,1323118.0568203873
2025-11-03,881228.9994379515,713757.9799888812,167471.0194490703,1335218.8167241265
2025-11-04,881228.9994379515,713757.9799888812,167471.0194490703,1329772.386230481
2025-11-05,881228.9994379515,713757.9799888812,167471.0194490703,1340657.9991560709
2025-11-06,881228.9994379515,713757.9799888812,167471.0194490703,1346939.3269549059
2025-11-07,881228.9994379515,713757.9799888812,167471.0194490703,1347781.0375680442
2025-11-10,881228.9994379515,713757.9799888812,167471.0194490703,1359144.6176614847
2025-11-11,881228.9994379515,713757.9799888812,167471.0194490703,1363245.385633343
2025-11-12,881228.9994379515,713757.9799888812,167471.0194490703,1357317.5832613185
2025-11-13,881228.9994379515,713757.9799888812,167471.0194490703,1372098.033667237
2025-11-14,881228.9994379515,713757.9799888812,167471.0194490703,1369016.1256327413
2025-11-17,881228.9994379515,713757.9799888812,167471.0194490703,1370928.6446309236
2025-11-18,881228.9994379515,713757.9799888812,167471.0194490703,1353376.6702095126
2025-11-19,881228.9994379515,713757.9799888812,167471.0194490703,1339849.9527160132
2025-11-20,881228.9994379515,713757.9799888812,167471.0194490703,1330826.1865381885
2025-11-21,881228.9994379515,713757.9799888812,167471.0194490703,1282650.5760742852
2025-11-24,881228.9994379515,713757.9799888812,167471.0194490703,1295777.5734613016
2025-11-25,881228.9994379515,713757.9799888812,167471.0194490703,1311808.898226854
2025-11-26,881228.9994379515,713757.9799888812,167471.0194490703,1308190.3979169172
2025-11-27,881228.9994379515,713757.9799888812,167471.0194490703,1310550.1404950167
2025-11-28,881228.9994379515,713757.9799888812,167471.0194490703,1326188.4792015844
2025-12-01,881228.9994379515,713757.9799888812,167471.0194490703,1335377.2089482339
2025-12-02,881228.9994379515,713757.9799888812,167471.0194490703,1332253.9773257545
2025-12-03,881228.9994379515,713757.9799888812,167471.0194490703,1325453.3551277996
2025-12-04,881228.9994379515,713757.9799888812,167471.0194490703,1314774.5940196177
2025-12-05,881228.9994379515,713757.9799888812,167471.0194490703,1330887.8799843155
2025-12-08,885177.1473394838,0.0,885177.1473394838,1338668.8329132288
2025-12-09,881770.236915542,0.0,881770.236915542,1329055.2174306544
2025-12-10,878579.4658842296,0.0,878579.4658842296,1331843.4857641095
2025-12-11,870466.7533994123,0.0,870466.7533994123,1309775.0569694191
2025-12-12,868357.7661975613,700886.746748491,167471.0194490703,1310428.6110791173
2025-12-15,868357.7661975613,700886.746748491,167471.0194490703,1311398.3265412517
2025-12-16,868357.7661975613,700886.746748491,167471.0194490703,1291615.9991974474
2025-12-17,868357.7661975613,700886.746748491,167471.0194490703,1300205.1677639382
2025-12-18,868357.7661975613,700886.746748491,167471.0194490703,1304170.4812238992
2025-12-19,868357.7661975613,700886.746748491,167471.0194490703,1325524.4529515663
2025-12-22,874436.8255883091,0.0,874436.8255883091,1333103.302697666
2025-12-23,874173.4424523563,0.0,874173.4424523563,1324982.1139857292
2025-12-24,876862.1940481671,0.0,876862.1940481671,1338689.5179024434
2025-12-25,882805.2140146731,0.0,882805.2140146731,1350255.7135583572
2025-12-26,880659.2114309759,713188.1919819056,167471.0194490703,1352361.2906536406
2025-12-29,880659.2114309759,713188.1919819056,167471.0194490703,1348920.4972711292
2025-12-30,880659.2114309759,713188.1919819056,167471.0194490703,1345686.4608627278
2025-12-31,880659.2114309759,713188.1919819056,167471.0194490703,1346729.4584334088
2026-01-05,880659.2114309759,713188.1919819056,167471.0194490703,1361651.0340966124
2026-01-06,880659.2114309759,713188.1919819056,167471.0194490703,1380819.623671751
2026-01-07,880659.2114309759,713188.1919819056,167471.0194490703,1381210.8592543115
2026-01-08,880659.2114309759,713188.1919819056,167471.0194490703,1393054.241415148
2026-01-09,880659.2114309759,713188.1919819056,167471.0194490703,1408264.3443278838
2026-01-12,880659.2114309759,713188.1919819056,167471.0194490703,1429138.9470149598
2026-01-13,880659.2114309759,713188.1919819056,167471.0194490703,1415906.5375441152
2026-01-14,880659.2114309759,713188.1919819056,167471.0194490703,1419700.706967832
2026-01-15,880659.2114309759,713188.1919819056,167471.0194490703,1416387.647312777
2026-01-16,880659.2114309759,713188.1919819056,167471.0194490703,1411745.1795113715
2026-01-19,880659.2114309759,713188.1919819056,167471.0194490703,1430038.6725500945
2026-01-20,880659.2114309759,713188.1919819056,167471.0194490703,1429478.3256612597
2026-01-21,879870.0348625559,0.0,879870.0348625559,1436956.060709008
2026-01-22,887613.4273188086,0.0,887613.4273188086,1451094.402931619
2026-01-23,899104.3589083449,0.0,899104.3589083449,1468192.7373727332
2026-01-26,896909.458889967,729438.4394408966,167471.0194490703,1457024.4792401453
2026-01-27,896909.458889967,729438.4394408966,167471.0194490703,1449950.346191097
2026-01-28,896909.458889967,729438.4394408966,167471.0194490703,1447784.1562800894
2026-01-29,896909.458889967,729438.4394408966,167471.0194490703,1443152.0183367142
2026-01-30,896909.458889967,729438.4394408966,167471.0194490703,1437442.7525964784
2026-02-02,896909.458889967,729438.4394408966,167471.0194490703,1404449.9883310483
2026-02-03,896909.458889967,729438.4394408966,167471.0194490703,1430618.2923651591
2026-02-04,896909.458889967,729438.4394408966,167471.0194490703,1444086.4473697566
2026-02-05,896909.458889967,729438.4394408966,167471.0194490703,1433907.3330191686
2026-02-06,896909.458889967,729438.4394408966,167471.0194490703,1436924.5474573222
2026-02-09,896909.458889967,729438.4394408966,167471.0194490703,1457899.0283813972
2026-02-10,896909.458889967,729438.4394408966,167471.0194490703,1458065.6961958457
2026-02-11,896909.458889967,729438.4394408966,167471.0194490703,1457628.16280734
2026-02-12,896909.458889967,729438.4394408966,167471.0194490703,1452162.5300442497
2026-02-13,896909.458889967,729438.4394408966,167471.0194490703,1440136.602725566
2026-02-24,896909.458889967,729438.4394408966,167471.0194490703,1463392.5844668727
2026-02-25,896909.458889967,729438.4394408966,167471.0194490703,1478835.5316120572
2026-02-26,900148.5118976779,0.0,900148.5118976779,1479897.1905378052
2026-02-27,910967.6455798077,0.0,910967.6455798077,1491768.1675379898
2026-03-02,915318.1609037049,0.0,915318.1609037049,1472260.5651015958
2026-03-03,913131.8927993928,726569.7666664196,186562.1261329733,1432472.585780703
2026-03-04,913074.6194793412,745603.6000302709,167471.0194490703,1423138.6681108852
2026-03-05,913074.6194793412,745603.6000302709,167471.0194490703,1437560.7022231435
2026-03-06,913074.6194793412,745603.6000302709,167471.0194490703,1460152.3946669628
2026-03-09,913074.6194793412,745603.6000302709,167471.0194490703,1448913.989026216
2026-03-10,913074.6194793412,745603.6000302709,167471.0194490703,1467526.8842217724
2026-03-11,913074.6194793412,745603.6000302709,167471.0194490703,1469846.1149882553
